20080526-115811 : HH38926 ; %UserProfileCitrix%\HH38926
20080526-115811 : HH56593 ; %UserProfileCitrix%\HH56593
20080526-115811 : HH59847 ; %UserProfileCitrix%\HH59847
20080526-115812 : HH72467 ; %UserProfileCitrix%\HH72467
20080526-115812 : HH75532 ; %UserProfileCitrix%\HH75532
20080526-115812 : HH78284 ; %UserProfileCitrix%\HH78284
20080526-115813 : HJ38405 ; %UserProfileCitrix%\HJ38405
20080526-115813 : HJ38679 ; %UserProfileCitrix%\HJ38679
20080526-115814 : HK19878 ; %UserProfileCitrix%\HK19878
20080526-115814 : HK38547 ; %UserProfileCitrix%\HK38547
20080526-115814 : HK72029 ; %UserProfileCitrix%\HK72029
20080526-115815 : HK76945 ; %UserProfileCitrix%\HK76945
20080526-115815 : HK77209 ; %UserProfileCitrix%\HK77209
20080526-115815 : HK78159 ; %UserProfileCitrix%\HK78159
20080526-115816 : HK82633 ; %UserProfileCitrix%\HK82633
20080526-115816 : HKE1545 ; %UserProfileCitrix%\HKE1545
20080526-115816 : HKE1811 ; %UserProfileCitrix%\HKE1811
20080526-115817 : HL37838 ; %UserProfileCitrix%\HL37838
20080526-115817 : HL77918 ; %UserProfileCitrix%\HL77918
20080526-115818 : HM37866 ; %UserProfileCitrix%\HM37866
20080526-115818 : HM37951 ; %UserProfileCitrix%\HM37951
20080526-115818 : HM38514 ; %UserProfileCitrix%\HM38514
20080526-115819 : HM38980 ; %UserProfileCitrix%\HM38980
20080526-115819 : HM55236 ; %UserProfileCitrix%\HM55236
20080526-115819 : HM57374 ; %UserProfileCitrix%\HM57374
20080526-115820 : HM59947 ; %UserProfileCitrix%\HM59947
20080526-115820 : HM78849 ; %UserProfileCitrix%\HM78849
20080526-115820 : HO82062 ; %UserProfileCitrix%\HO82062
20080526-115821 : ERROR: HO90328 ; \\S060\CTXPROF$\HO90328
20080526-115821 : HOTMRP1 ; %UserProfileCitrix%\HOTMRP1
20080526-115821 : HOTMRP2 ; %UserProfileCitrix%\HOTMRP2
20080526-115822 : HP33668 ; %UserProfileCitrix%\HP33668
20080526-115822 : HP37141 ; %UserProfileCitrix%\HP37141
20080526-115823 : HP39008 ; %UserProfileCitrix%\HP39008
20080526-115823 : HP77052 ; %UserProfileCitrix%\HP77052
20080526-115823 : HP77333 ; %UserProfileCitrix%\HP77333
20080526-115824 : HP79329 ; %UserProfileCitrix%\HP79329
20080526-115824 : hpsim-service ; %UserProfileCitrix%\hpsim-service
20080526-115824 : hpvcrm ; %UserProfileCitrix%\hpvcrm
20080526-115825 : HPVCRMUpdate ; %UserProfileCitrix%\HPVCRMUpdate
20080526-115825 : HR72615 ; %UserProfileCitrix%\HR72615
20080526-115825 : HR76577 ; %UserProfileCitrix%\HR76577
20080526-115826 : HR77655 ; %UserProfileCitrix%\HR77655
20080526-115826 : HRE1765 ; %UserProfileCitrix%\HRE1765
20080526-115827 : HS35915 ; %UserProfileCitrix%\HS35915
20080526-115827 : HS36984 ; %UserProfileCitrix%\HS36984
